Topic ID,Title,Fancy Title,Slug,Posts Count,Reply Count,Highest Post Number,Image URL,Created At,Last Posted At,Views,Like Count,Pinned,Unpinned,Closed,Visible,Tags,Last Poster Username,Category ID,posters,Original Poster ID
21565,GovHack Day 3 Community Voting - Top 5 GovHack Teams,GovHack Day 3 Community Voting - Top 5 GovHack Teams,govhack-day-3-community-voting-top-5-govhack-teams,5,0,5,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/optimized/2X/1/18c03f7bc800f2507a7c15ad02ebb19001a3134b_2_1024x573.jpeg,2024-02-28 02:08:37,2024-02-28 14:06:05,293,10,True,,False,True,[],Arbitrum,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 14911, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 9286, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 7, 'primary_group_id': None, 'flair_group_id': None}]",12183
21482,About the Arbitrum GovHack Submissions category,About the Arbitrum GovHack Submissions category,about-the-arbitrum-govhack-submissions-category,1,0,1,,2024-02-26 21:51:12,,98,0,True,,False,True,[],cliffton.eth,26,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",12183
21533,Team 12: Empowering underrepresented delegates,Team 12: Empowering underrepresented delegates,team-12-empowering-underrepresented-delegates,5,0,5,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/optimized/2X/c/c7ea3fb277e099007c4406a918e575a84ef2109f_2_937x1024.png,2024-02-27 21:22:16,2024-03-11 02:46:06,240,6,False,,False,True,['contributor-onboardi'],Tane,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 14778, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 10393, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12361, 'primary_group_id': None, 'flair_group_id': None}]",14778
21486,Team 13 GovHack Proposal,Team 13 GovHack Proposal,team-13-govhack-proposal,5,1,5,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/optimized/2X/d/d140e935b3f03d63f9ef1711549c8845ca6e932c_2_1024x682.jpeg,2024-02-26 23:01:43,2024-03-05 20:45:10,285,3,False,,False,True,"['proposal', 'dao-bd-strategy']",RikaGoldberg,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 12705, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 14560, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12658, 'primary_group_id': None, 'flair_group_id': None}]",12705
21517,Team 20 - Contributor Mining — Get the contributors paid,Team 20 - Contributor Mining — Get the contributors paid,team-20-contributor-mining-get-the-contributors-paid,8,1,8,,2024-02-27 18:42:01,2024-03-05 05:54:46,350,13,False,,False,True,[],jacobpphillips,26,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 11866, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12710, 'primary_group_id': None, 'flair_group_id': None}]",11866
21490,Team 7 - ARBITRUM ONE GOVERNANCE COMPOSABILITY,Team 7 - ARBITRUM ONE GOVERNANCE COMPOSABILITY,team-7-arbitrum-one-governance-composability,4,0,4,,2024-02-26 23:28:58,2024-02-28 04:53:16,190,3,False,,False,True,['proposal'],ariutokintumi,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 14887, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 14911, 'primary_group_id': None, 'flair_group_id': None}]",14887
21547,Team 5: Backup Sequencers,Team 5: Backup Sequencers,team-5-backup-sequencers,5,1,5,,2024-02-27 22:37:59,2024-02-28 01:43:05,186,3,False,,False,True,[],sam.ng,26,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 12317, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",12317
21562,Top 5 GovHack Teams Announcement,Top 5 GovHack Teams Announcement,top-5-govhack-teams-announcement,3,0,7,,2024-02-28 01:17:57,2024-02-28 01:54:09,138,1,False,,False,True,[],cliffton.eth,26,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",12183
21508,Team 1: Assembly for Defining Strategic Pillars,Team 1: Assembly for Defining Strategic Pillars,team-1-assembly-for-defining-strategic-pillars,3,0,3,,2024-02-27 16:35:45,2024-02-28 01:09:42,138,4,False,,False,True,['strategic-big-bets'],cliffton.eth,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 14897, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",14897
21535,Team 22 - Establishment of Arbitrum Venture Initiative (AVI),Team 22 - Establishment of Arbitrum Venture Initiative (AVI),team-22-establishment-of-arbitrum-venture-initiative-avi,3,0,3,,2024-02-27 21:26:12,2024-02-28 01:09:16,156,2,False,,False,True,[],cliffton.eth,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 14197, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",14197
