Topic ID,Title,Fancy Title,Slug,Posts Count,Reply Count,Highest Post Number,Image URL,Created At,Last Posted At,Views,Like Count,Pinned,Unpinned,Closed,Visible,Tags,Last Poster Username,Category ID,posters,Original Poster ID
17,About the Arbitrum DAO Chains category,About the Arbitrum DAO Chains category,about-the-arbitrum-dao-chains-category,4,0,4,,2023-01-23 19:22:28,2023-08-14 07:29:50,870,17,True,,False,True,[],OMOKAS,5,"[{'extras': None, 'description': 'Original Poster', 'user_id': -1, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 11793, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 11897, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12244, 'primary_group_id': None, 'flair_group_id': None}]",-1
22152,"Fix Fee Oversight ArbOS v20 ""Atlas""",Fix Fee Oversight ArbOS v20 &ldquo;Atlas&rdquo;,fix-fee-oversight-arbos-v20-atlas,22,2,22,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/optimized/2X/b/b4906566128f29af064067c3d7a685436b246cb4_2_1024x261.png,2024-03-05 03:14:11,2024-03-14 21:39:02,1692,14,False,,False,True,[],maxlomu,5,"[{'extras': None, 'description': 'Original Poster', 'user_id': 7, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 10364, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 14229, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 7988, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 8115, 'primary_group_id': None, 'flair_group_id': None}]",7
19379,Non-emergency Security Council action - update Arbitrum Nova DAC keyset,Non-emergency Security Council action - update Arbitrum Nova DAC keyset,non-emergency-security-council-action-update-arbitrum-nova-dac-keyset,4,0,4,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/optimized/2X/0/006ecf196b024dc94c96c072370a42a189a49fdb_2_1024x584.png,2023-11-06 15:28:18,2023-11-27 21:41:03,913,12,False,,False,True,[],fred,5,"[{'extras': None, 'description': 'Original Poster', 'user_id': 7, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 10364, 'primary_group_id': None, 'flair_group_id': None}]",7
19695,Arbitrum ArbOS upgrades,Arbitrum ArbOS upgrades,arbitrum-arbos-upgrades,1,0,1,,2023-11-22 16:59:24,2023-11-22 16:59:24,1466,12,False,,False,True,[],Arbitrum,5,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 7, 'primary_group_id': None, 'flair_group_id': None}]",7
21565,GovHack Day 3 Community Voting - Top 5 GovHack Teams,GovHack Day 3 Community Voting - Top 5 GovHack Teams,govhack-day-3-community-voting-top-5-govhack-teams,5,0,5,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/optimized/2X/1/18c03f7bc800f2507a7c15ad02ebb19001a3134b_2_1024x573.jpeg,2024-02-28 02:08:37,2024-02-28 14:06:05,293,10,True,,False,True,[],Arbitrum,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 14911, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 9286, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 7, 'primary_group_id': None, 'flair_group_id': None}]",12183
21482,About the Arbitrum GovHack Submissions category,About the Arbitrum GovHack Submissions category,about-the-arbitrum-govhack-submissions-category,1,0,1,,2024-02-26 21:51:12,,98,0,True,,False,True,[],cliffton.eth,26,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}]",12183
21533,Team 12: Empowering underrepresented delegates,Team 12: Empowering underrepresented delegates,team-12-empowering-underrepresented-delegates,5,0,5,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/optimized/2X/c/c7ea3fb277e099007c4406a918e575a84ef2109f_2_937x1024.png,2024-02-27 21:22:16,2024-03-11 02:46:06,240,6,False,,False,True,['contributor-onboardi'],Tane,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 14778, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 10393, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12361, 'primary_group_id': None, 'flair_group_id': None}]",14778
21486,Team 13 GovHack Proposal,Team 13 GovHack Proposal,team-13-govhack-proposal,5,1,5,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/optimized/2X/d/d140e935b3f03d63f9ef1711549c8845ca6e932c_2_1024x682.jpeg,2024-02-26 23:01:43,2024-03-05 20:45:10,285,3,False,,False,True,"['proposal', 'dao-bd-strategy']",RikaGoldberg,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 12705, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 14560, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12658, 'primary_group_id': None, 'flair_group_id': None}]",12705
21517,Team 20 - Contributor Mining — Get the contributors paid,Team 20 - Contributor Mining — Get the contributors paid,team-20-contributor-mining-get-the-contributors-paid,8,1,8,,2024-02-27 18:42:01,2024-03-05 05:54:46,350,13,False,,False,True,[],jacobpphillips,26,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 11866, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12710, 'primary_group_id': None, 'flair_group_id': None}]",11866
21490,Team 7 - ARBITRUM ONE GOVERNANCE COMPOSABILITY,Team 7 - ARBITRUM ONE GOVERNANCE COMPOSABILITY,team-7-arbitrum-one-governance-composability,4,0,4,,2024-02-26 23:28:58,2024-02-28 04:53:16,190,3,False,,False,True,['proposal'],ariutokintumi,26,"[{'extras': None, 'description': 'Original Poster', 'user_id': 14887, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12183, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 14911, 'primary_group_id': None, 'flair_group_id': None}]",14887
