Topic ID,Title,Fancy Title,Slug,Posts Count,Reply Count,Highest Post Number,Image URL,Created At,Last Posted At,Views,Like Count,Pinned,Unpinned,Closed,Visible,Tags,Last Poster Username,Category ID,posters,Original Poster ID
21366,Writing Your First Proposal to the ArbitrumDAO,Writing Your First Proposal to the ArbitrumDAO,writing-your-first-proposal-to-the-arbitrumdao,1,0,1,,2024-02-21 21:29:29,2024-02-21 21:29:29,321,5,True,,True,True,[],Arbitrum,7,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 7, 'primary_group_id': None, 'flair_group_id': None}]",7
19908,Support to Establish GrantsDAOs,Support to Establish GrantsDAOs,support-to-establish-grantsdaos,28,6,28,,2023-12-06 09:54:02,2024-01-22 17:38:10,5028,132,True,,False,True,[],CryptoReuMD,7,"[{'extras': None, 'description': 'Original Poster', 'user_id': 7, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 14072, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 7308, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 7390, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 10952, 'primary_group_id': None, 'flair_group_id': None}]",7
19,About the Proposals category,About the Proposals category,about-the-proposals-category,2,0,4,,2023-01-23 19:25:01,2023-05-03 20:48:12,1483,16,True,,True,True,[],Arbitrum,7,"[{'extras': None, 'description': 'Original Poster', 'user_id': -1, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 7, 'primary_group_id': None, 'flair_group_id': None}]",-1
22353,Double-Down on STIP Successes (STIP-Bridge),Double-Down on STIP Successes (STIP-Bridge),double-down-on-stip-successes-stip-bridge,17,5,18,,2024-03-12 01:26:16,2024-03-14 10:28:37,643,33,False,,False,True,['proposal'],BlueClarity,7,"[{'extras': None, 'description': 'Original Poster', 'user_id': 13491, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12438, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12550, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12691, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12496, 'primary_group_id': None, 'flair_group_id': None}]",13491
21247,Proposal: Front-end interface to force transaction inclusion during sequencer downtime,Proposal: Front-end interface to force transaction inclusion during sequencer downtime,proposal-front-end-interface-to-force-transaction-inclusion-during-sequencer-downtime,17,9,17,,2024-02-14 16:36:20,2024-03-14 09:05:31,630,30,False,,False,True,[],JoJo,7,"[{'extras': None, 'description': 'Original Poster', 'user_id': 14734, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 14229, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 4807, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 15233, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 11975, 'primary_group_id': None, 'flair_group_id': None}]",14734
22387,Expand Tally Support for the Arbitrum DAO,Expand Tally Support for the Arbitrum DAO,expand-tally-support-for-the-arbitrum-dao,17,8,18,,2024-03-13 02:12:17,2024-03-14 07:15:17,182,19,False,,False,True,[],englandzz,7,"[{'extras': None, 'description': 'Original Poster', 'user_id': 4807, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 11975, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 14229, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 1036, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 13752, 'primary_group_id': None, 'flair_group_id': None}]",4807
22420,[RFC] Empowering Underrepresented Delegates ,[RFC] Empowering Underrepresented Delegates ,rfc-empowering-underrepresented-delegates,6,0,6,,2024-03-13 15:23:22,2024-03-14 07:14:00,101,9,False,,False,True,['proposal'],englandzz,7,"[{'extras': None, 'description': 'Original Poster', 'user_id': 10393, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12361, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 4461, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 1036, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 13752, 'primary_group_id': None, 'flair_group_id': None}]",10393
21326,Questbook DDA Program Phase 2 Request for Continuation,Questbook DDA Program Phase 2 Request for Continuation,questbook-dda-program-phase-2-request-for-continuation,42,21,43,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/optimized/2X/9/930d25bf4df11cc05c46606a9e641bd0d3b6f844_2_1024x535.png,2024-02-19 12:00:25,2024-03-14 06:32:32,1418,106,False,,False,True,[],Curia,7,"[{'extras': None, 'description': 'Original Poster', 'user_id': 12295, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 11975, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 7308, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 13978, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 7735, 'primary_group_id': None, 'flair_group_id': None}]",12295
22454,Accounting for votes ARB that locked in various projects,Accounting for votes ARB that locked in various projects,accounting-for-votes-arb-that-locked-in-various-projects,2,0,2,,2024-03-14 00:26:22,2024-03-14 06:12:02,46,0,False,,False,True,['delegation'],JoJo,7,"[{'extras': None, 'description': 'Original Poster', 'user_id': 14229, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 11975, 'primary_group_id': None, 'flair_group_id': None}]",14229
22368,Catalyze Gaming Ecosystem Growth on Arbitrum,Catalyze Gaming Ecosystem Growth on Arbitrum,catalyze-gaming-ecosystem-growth-on-arbitrum,60,8,61,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/optimized/2X/0/04c1ca5de7771c00394d265607630bf401b62fc8_2_1024x461.png,2024-03-12 16:37:33,2024-03-14 05:37:17,3520,364,False,,False,True,"['proposal', 'game-development-and']",FrogHybrid,7,"[{'extras': None, 'description': 'Original Poster', 'user_id': 12440, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 14782, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 14914, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 14852, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 15260, 'primary_group_id': None, 'flair_group_id': None}]",12440
21332,[Non-constitutional] Proposal to fund Plurality Labs Milestone 1B(ridge),[Non-constitutional] Proposal to fund Plurality Labs Milestone 1B(ridge),non-constitutional-proposal-to-fund-plurality-labs-milestone-1b-ridge,68,35,71,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/optimized/2X/1/19f2561a1ec3653e1dbc41d5a646874c679c4d6a_2_1024x810.jpeg,2024-02-19 23:47:50,2024-03-14 02:57:53,1943,229,False,,False,True,['proposal'],ocandocrypto,7,"[{'extras': None, 'description': 'Original Poster', 'user_id': 7308, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 11975, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 14757, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 11579, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 13882, 'primary_group_id': None, 'flair_group_id': None}]",7308
