Topic ID,Username,Post Created At,Post Description,Post Number
16364,Arbitrum,2023-09-14 19:41:09,"Are you interested in becoming a Security Council member for the Arbitrum ecosystem?
Before continuing, please read:

Security Council Elections 101
Security Council Members Responsibilities

Contender submission registrations on Tally open on 15th March 2024 at 12:00 UTC; and the initial election (nominee selection) begins on 22nd March 2024 at 12:00 UTC: Tally | Arbitrum Security Council
Recommendations Before Registering
Prior to 15th March 2024, if you are keen on participating as a candidate in the Security Council Elections, it is highly recommended to create a profile post on the ‘Security Council Elections’ category on the forum where you can introduce yourself and your background, as well as why delegates should vote for you to be in the Security Council.
You can reference these examples below which were posted by candidates in the September 2023 elections.

Pablo Sabbatella (pablito.eth) - Candidate for Security Council Election Sep 2023
Rob Coleman - Candidate for Security Council Election 2023 
Chuy García - Candidate for Security Council 
Paul - Candidate for Security Council Election Sep/Oct 2023 - Bio and Platform
Jerome - Candidate for Security Council Election Sep 2023 
Walid- Security Council Candidate 
Haaroon - Candidate for Security Council Sept 2023! 

Please use the ‘mar-2024-elections’ tag in your post so delegates can identify that you are running for the upcoming elections in March.
image978×286 12 KB
Prerequisite Before Registering
You must have a hardware wallet that can generate a fresh address for the election.
This hardware wallet should only be used for actions related to the Security Council and for no other applications. It should be funded with enough ether to allow for you to pay for a transaction in Arbitrum One.
Register as a Contender via Tally
One of the things that make the Security Council election on Arbitrum so exciting is that the entire election system is implemented as a suite of smart contracts.
Anyone can register as a contender via the smart contracts onchain. However, it is recommended that all interested contenders register for the election using Tally.
Tally provides an easy-to-use user interface and it will record additional information that can be considered by voters before they cast their vote.
Let’s walk through how to register step by step.
Connect Wallet

The first step is to visit the Security Council election website, click ‘Register as a candidate’ and connect your wallet.
You will be asked to connect your wallet.
Requirement: The connected wallet MUST be the same address that will be used for the Security Council election member.
Please use an address that you are happy to link with your online identity.
Declarations

The first step is to acknowledge a list of responsibilities to become a Security Council member alongside actions that you need to take before signing up.
It is a good opportunity to evaluate whether you want to take on the responsibility the role entails and join the election.
Profile Setup

If your connected wallet does not have a profile on Tally, then you will be asked to make a profile for the website. This profile is not exclusive to the Security Council elections and it can be reused for all activity on Tally. It is linked to your connected wallet.
Candidacy Details

An opportunity to provide information to the voters and explain why you will make a great Security Council member. It covers your current role, technical experience, and geographical location.
All voters will have access to this information (except for the email address) and they may use it to decide how to cast their vote.
Conflict of interest: The Arbitrum Constitution states that a nominee cannot become a member of the Security Council if they have a conflict of interest. For example, affiliations with direct Arbitrum competitors, proven histories of exploiting projects and others.
Sign Message from EOA
To ensure that you can produce signed messages for the different chains that the Security Council needs the ability to act on, you will need to sign a transaction from your address (Externally Owned Account).
This also prevents instances where candidates might sign up for the elections using an onchain smart contract wallet which is not able to produce signatures valid for other ArbitrumDAO-governed chains.
Preview & Submit

After expressing your readiness to shoulder the responsibility, you have one final opportunity to review the candidacy details before officially registering for the election.
The final step is to click ‘Submit’.
You will need to authorise a transaction to submit registration details to the onchain smart contract.

The Ethereum address that will join the Security Council will need ETH to pay for the transaction fee.

It must be sent by the same address as the smart contract relies on msg.sender for authentication.
Only the Ethereum address is stored onchain and all candidacy details are kept off-chain.
Thank you for taking an interest in protecting the Arbitrum ecosystem and good luck in the elections ",1
16364,haaroon,2023-09-15 14:09:56,There is currently a bug in the submission panel that states  “You must be connected to the Arbitrum Görli network to register on this council”,2
16364,owl,2023-09-15 14:14:47,"I believe you need to change the network to Arbitrum Goerli, on coinbase wallet you just need to manually select the Arbitrum Goerli and it’ll work",3
16364,haaroon,2023-09-15 15:11:14,"Hey owl! There was a bug, i contacted Arb, they reached out to Tally and had it fixed it. The elections are now up and must be done on the Arbitrum One Network.
I’ve just submitted my proposal. Please vote for me here!


Tally



Haaroon | Security Council Candidate
I believe my background in blockchain security and analytics (with a PhD and published research), as well as my passion for Arbitrum, would make me a strong member of the Arbitrum Security Council.

 I have been actively involved in the Arbitrum...





",4
16364,owl,2023-09-15 16:07:29,"I see, thanks sir. I have also applied as a candidate, and appreciate the heads up since I had registered in goerli thinking that’s the way.
Wishing you luck as well! Hope we will get to collab later on",5
16364,stonecoldpat,2023-09-15 16:29:59,,6
16364,darkhumour,2023-09-20 12:50:39,"nice, this is good but how  can I vote already registered nominees?",7
16364,cliffton.eth,2023-09-21 00:12:59,"Hey there, we currently are in the nominee selection phase, and this is where the nominees with at least 4.72M votes will qualify for Round 2.
You can review and cast your votes via Tally - Round 1 | Arbitrum Security Council Election",8
16364,haaroon,2023-09-21 20:42:29,"To vote you must go the tally website, connect your wallet and them vote with your tokens at the election link, here is a link to the page Tally | Arbitrum Security Council Election",9
16314,Arbitrum,2023-09-12 12:41:01,"Tldr:

The Security Council is a vital part of the Arbitrum ecosystem trusted to respond to critical emergencies.
Security Council Elections are held every 6 months, and allow the DAO to elect new Security Council members.
Actively participating in Security Council Elections is one of the most important responsibilities of the Arbitrum DAO.

1600×794 85.5 KB
On March 15 2024, the second Arbitrum DAO Security Council Election process will commence! Here, we’ll give you the overview of everything you need to know: what the Security Council is, how the Security Council elections work, and how you can participate.
1600×800 147 KB
Background
The DAO-governed Arbitrum chains — like all software — sometimes need to be upgraded. Arbitrum’s governance system provides two ways for the upgrades to take place: via a DAO proposal, or via the Security Council.
DAO proposals can be submitted by anyone, are transparent, and are deliberately designed to take weeks to finalize. This time allows Arbitrum delegates to vote on the proposal, and ensures that, if the proposal passes, Arbitrum users will still have an opportunity to “opt out” of it by withdrawing their funds before it takes effect.
Some upgrades, however, need to happen quickly — namely, upgrades that fix a critical bug discovered in the system. For this class of upgrades, quick effectuation is necessary to ensure no attacker can exploit the vulnerability once it is public. These fast-upgrades can be carried out by the Security Council.
The Security Council consists of 12 members, any 9 of whose signature is required to authorize an upgrade. The current Security Council members can be seen in the Foundation documentation or via Tally.
As of this writing, all but one upgrade has been carried out via the DAO proposal path, and no emergency upgrades have been necessary. However, given the known-unknown risk of undiscovered bugs, having an emergency upgrade contingency plan remains vital. The Security Council is trusted to only ever use its ability for fast upgrades in order to recover from emergencies; however, the Constitution also describes the non-emergency path for the Security Council, which has been used once so far (when the Security Council took a non-emergency action to update Arbitrum Nova’s DAC keyset). Thus, it is important that the DAO places great importance and deliberation in electing reputable and trustworthy individuals and/or entities to the Security Council.
723×502 219 KB
Security Council Election: Overview
Security Council elections are a way for the DAO to periodically elect new members (and/or explicitly re-elect members) of the Security Council, ensuring that members remain aligned with the values and best interests of the DAO.
In brief: the 12 members of the Security Council are split into two groups of six, called “cohorts.” Every 6 months, the six seats in one of the cohorts are all up for election, with the target cohort alternating each election cycle. During an election, any party can submit themselves as a candidate in the election. During the election process, the DAO votes on candidates such that ultimately the top 6 are chosen; after a brief grace period, these 6 candidates replace the 6 candidates in the outgoing cohort, finishing the election.
Security Council Election: In Detail
The following is a more detailed overview of the different phases of a Security Council Election:
Phase 1: Call for Candidates - Now till Mar 15, 2024
Anyone interested in participating as a candidate in the Security Council Elections is encouraged to inform the community of their plans to run on the governance forum, by:

Creating a profile post on the ‘Security Council Elections’ category which could include background and relevant details, as well as reasons why delegates should vote for them
Using the ‘mar-2024-elections’ tag so delegates can identify that the applicant is running for the upcoming elections in March

Phase 2: Contender Submission - 7 days
During this phase, any party can register as a “contender” for a Security Council position, so long as they are not already a member of the other cohort (the cohort not currently up for election).
Phase 3: Nominee Selection (first voting phase) - 7 Days
During this phase, delegates can cast votes for contenders. Delegates can split their votes across as many contenders as they please; i.e., if Steve has a total of 1000 delegated votes, he can cast 300 votes for Alice and 700 votes for Bob.
This is slightly different to the previous election, as DAO members and delegates can only endorse contenders AFTER, rather than during, the Contender Submission phase.
Any contender that receives votes representing 0.2% of all voteable tokens advances to the next phase.
1400×704 109 KB
Phase 4: Compliance Process - 14 Days
During this phase, as dictated in the Constitution, contenders who receive votes representing 0.2% of all voteable tokens in the Nominee Selection phase, must undergo a compliance check undertaken by the Arbitrum Foundation to ensure they comply with the legal requirements, service agreements, and additional rules dictated by the Constitution. Contenders can start the compliance process by reaching out to “scelection@arbitrum.foundation”.
Note that for a contender to be excluded at this phase, the Foundation must take a public, on-chain action.
All contenders that are not excluded during the compliance check are considered “nominees,” and advance to the next phase.
874×280 72.4 KB
Phase 5: Member Election (second voting phase) 21 Days total
During this phase, delegates voting power is “reset” from the Nominee Selection phase (first voting phase); delegates vote on nominees until 6 are selected as members of the new cohort.
The member selection phase is comprised of two sub-phases: full-weight voting, and decreasing-weight voting.
5a. Full Weight Voting (7 Days)
During this sub-phase, delegates vote with the full weight of the votes delegated to them.
5b. Decreasing Weight Voting (14 Days)
During this sub-phase, delegates voting power decreases linearly; i.e., at the beginning of the sub-phase they can vote with 100% of their voting weight, and by the end, their votes have 0 weight.
1400×636 168 KB
As with voting in the Nominee Selection phase, delegates can split their votes across multiple candidates.
For example: Steve — who, recall, used all 1000 of his votes in the Nominee Selection phase, now, during the full weight voting phase, has 1000 votes once again. Say he casts 600 votes for Bob and 100 for Christine, leaving him with 300 votes left.
Then, he waits until he is 7 days into the decreasing weight voting phase before voting again. At this point he casts all of his votes for Daniel; since he is 50% of the way through this phase, his voting power is decreased by 50%, so Daniel gets 150 votes, and Steve has no more votes to cast.
At the end of the Member selection phase, the six nominees with the most votes are the winners, and are set to become members of the Security Council.
Phase 6: Grace Period (13 Days)
This period is simply a delay period after the new members have been officially elected and before they actually become members of the Security Council. This delay period allows Arbitrum users to withdraw their funds if they so chose before the new council members are put into place (as per the constitution), and is also required so that the election results can propagate to the Security Council contracts across all relevant chains.
How To Participate
The election process is carried on via on-chain smart contracts which can be accessed through the Tally interface here; discussion around elections is encouraged on the governance forums.
Here are ways to get involved:
Potential Contenders
If you’re interested in putting yourself up for vote to become a member of the Security Council, you are encouraged to carefully review the compliance requirements, risks, and responsibilities involved; for more info, see here.
If you think you’re suited for the job, you can campaign for yourself and engage with the community by posting on the governance forum.
Delegates
Delegates are encouraged to vote!
Recall that there are two phases during which a delegate can vote; selecting nominees and picking the top six among selected nominees (i.e., phases 2 and 4 above).
Delegates are encouraged to carefully consider the decreasing weight mechanism (4b above) so they can optimize their strategy accordingly.
Community Members
All members of the Arbitrum community — whether or not they have delegate votes — are encouraged to participate in elections via public platforms like the governance forum and weigh in on who they think would be strong candidates for security council membership.",1
