Topic ID,Title,Fancy Title,Slug,Posts Count,Reply Count,Highest Post Number,Image URL,Created At,Last Posted At,Views,Like Count,Pinned,Unpinned,Closed,Visible,Tags,Last Poster Username,Category ID,posters,Original Poster ID
16364,How to Register as a Nominee,How to Register as a Nominee,how-to-register-as-a-nominee,9,5,9,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/original/2X/e/e2a8f324a48782edd1445f43fb8bae69df611131.png,2023-09-14 19:41:08,2023-09-21 20:42:29,2597,22,True,,False,True,[],haaroon,12,"[{'extras': None, 'description': 'Original Poster', 'user_id': 7, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12553, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 10318, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12656, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12300, 'primary_group_id': None, 'flair_group_id': None}]",7
16314,Security Council Elections 101,Security Council Elections 101,security-council-elections-101,2,0,2,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/optimized/2X/4/4c94d041893311cbebda0ab10d1fe1c6f1364414_2_1024x508.jpeg,2023-09-12 12:41:01,2023-09-12 12:41:14,710,18,True,,False,True,[],Arbitrum,12,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 7, 'primary_group_id': None, 'flair_group_id': None}]",7
16313,Security Council Members: Duties and Principles,Security Council Members: Duties and Principles,security-council-members-duties-and-principles,2,0,2,https://global.discourse-cdn.com/standard17/uploads/arbitrum1/optimized/2X/8/80e3cd81884c8b09efb9bc72640bea970b63e20e_2_1024x688.png,2023-09-12 12:32:04,2023-09-12 12:33:34,525,8,True,,False,True,[],Arbitrum,12,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 7, 'primary_group_id': None, 'flair_group_id': None}]",7
22444,Limes.eth - Intent to run for March 2024 Security Council Elections,Limes.eth - Intent to run for March 2024 Security Council Elections,limes-eth-intent-to-run-for-march-2024-security-council-elections,1,0,1,,2024-03-13 20:10:34,2024-03-13 20:10:34,43,1,False,,False,True,['mar-2024-elections'],limes,12,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 7277, 'primary_group_id': None, 'flair_group_id': None}]",7277
16653,Pablo Sabbatella (pablito.eth) - Candidate for Security Council Election Sep 2023,Pablo Sabbatella (pablito.eth) - Candidate for Security Council Election Sep 2023,pablo-sabbatella-pablito-eth-candidate-for-security-council-election-sep-2023,1,0,1,,2023-09-21 15:06:10,2023-09-21 15:06:10,256,4,False,,False,True,['sep-2023-elections'],pablitoeth,12,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 12696, 'primary_group_id': None, 'flair_group_id': None}]",12696
18466,Rob Coleman - Candidate for Security Council Election 2023,Rob Coleman - Candidate for Security Council Election 2023,rob-coleman-candidate-for-security-council-election-2023,1,0,1,,2023-10-08 18:45:23,2023-10-08 18:45:23,283,2,False,,False,True,['sep-2023-elections'],robc,12,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 13564, 'primary_group_id': None, 'flair_group_id': None}]",13564
16666,Security Council Elections Round 1 voting rationale,Security Council Elections Round 1 voting rationale,security-council-elections-round-1-voting-rationale,3,0,3,,2023-09-21 17:56:04,2023-10-11 11:58:47,731,13,False,,False,True,[],krst,12,"[{'extras': 'latest', 'description': 'Original Poster, Most Recent Poster', 'user_id': 7988, 'primary_group_id': None, 'flair_group_id': None}, {'extras': None, 'description': 'Frequent Poster', 'user_id': 12300, 'primary_group_id': None, 'flair_group_id': None}]",7988
18341,Chuy García - Candidate for Security Council,Chuy García - Candidate for Security Council,chuy-garcia-candidate-for-security-council,2,0,2,,2023-10-06 04:45:32,2023-10-06 18:10:03,399,9,False,,False,True,"['sep-2023-elections', 'mar-2024-elections']",CryptoReuMD,12,"[{'extras': None, 'description': 'Original Poster', 'user_id': 12304, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 10952, 'primary_group_id': None, 'flair_group_id': None}]",12304
18298,Query on Security Council Membership Limits and Financial Incentives,Query on Security Council Membership Limits and Financial Incentives,query-on-security-council-membership-limits-and-financial-incentives,1,0,1,,2023-10-05 14:49:11,2023-10-05 14:49:11,269,4,False,,False,True,[],haaroon,12,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 12300, 'primary_group_id': None, 'flair_group_id': None}]",12300
16513,Paul - Candidate for Security Council Election March 2024 Cohort - Bio and Platform,Paul - Candidate for Security Council Election March 2024 Cohort - Bio and Platform,paul-candidate-for-security-council-election-march-2024-cohort-bio-and-platform,3,0,3,,2023-09-19 13:23:53,2023-09-25 05:32:11,417,10,False,,False,True,"['sep-2023-elections', 'mar-2024-elections']",sahijeevan,12,"[{'extras': None, 'description': 'Original Poster', 'user_id': 10899, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12648, 'primary_group_id': None, 'flair_group_id': None}]",10899
16569,Jerome - Candidate for Security Council Election Sep 2023,Jerome - Candidate for Security Council Election Sep 2023,jerome-candidate-for-security-council-election-sep-2023,2,0,2,,2023-09-20 13:35:16,2023-09-21 15:40:45,287,3,False,,False,True,['sep-2023-elections'],sahijeevan,12,"[{'extras': None, 'description': 'Original Poster', 'user_id': 12657, 'primary_group_id': None, 'flair_group_id': None}, {'extras': 'latest', 'description': 'Most Recent Poster', 'user_id': 12648, 'primary_group_id': None, 'flair_group_id': None}]",12657
16409,Walid- Security Council Candidate,Walid- Security Council Candidate,walid-security-council-candidate,3,0,3,,2023-09-15 16:00:02,2023-09-15 17:00:29,311,0,False,,False,True,['sep-2023-elections'],owl,12,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 12553, 'primary_group_id': None, 'flair_group_id': None}]",12553
16323,Haaroon - Candidate for Security Council Sept 2023!,Haaroon - Candidate for Security Council Sept 2023!,haaroon-candidate-for-security-council-sept-2023,2,0,2,,2023-09-12 21:02:12,2023-09-15 15:12:27,419,8,False,,False,True,['sep-2023-elections'],haaroon,12,"[{'extras': 'latest single', 'description': 'Original Poster, Most Recent Poster', 'user_id': 12300, 'primary_group_id': None, 'flair_group_id': None}]",12300
